name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Houston	, Texas",2022-11-13,57.5,40.8,49.2,57.5,35.3,46.7,28.7,46.2,0,0,0,,0,0,17.2,11.4,55.6,1023.1,24.9,9.9,119.9,10.4,7,10,2022-11-13T06:44:36,2022-11-13T17:26:40,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-14,60.1,48.3,52.5,60.1,42.2,51.8,46.3,80.7,1.199,100,29.17,rain,0,0,37.6,23.6,64,1014.9,99.9,7.7,16.1,1.5,1,10,2022-11-14T06:45:26,2022-11-14T17:26:10,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-15,52.4,43.1,47.2,52.4,36.3,42,38.4,72.3,0,0,0,,0,0,32.9,22.9,349.6,1023.7,74.9,9.9,118.5,10.2,6,10,2022-11-15T06:46:15,2022-11-15T17:25:41,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-16,53.6,39.5,45.8,53.6,32.5,41.7,34.7,66.8,0,0,0,,0,0,24.2,15,12.5,1029.4,61.6,9.9,74.7,6.4,4,10,2022-11-16T06:47:05,2022-11-16T17:25:14,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-17,55.8,44.3,50.7,55.8,39.6,49.1,33.4,52.2,0,0,0,,0,0,18.3,12,47.8,1029.1,77.8,9.9,65.3,5.6,3,10,2022-11-17T06:47:54,2022-11-17T17:24:48,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-18,55.7,48.2,52.2,55.7,42.7,51.5,32.5,47.8,0.002,100,8.33,rain,0,0,20.8,14.7,89,1026.2,98.2,9.9,57,4.8,2,10,2022-11-18T06:48:44,2022-11-18T17:24:24,0.83,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-19,50.1,43.1,45.6,50.1,35.6,40.2,42,87.5,0.832,100,87.5,rain,0,0,26.4,16.1,31.6,1026.6,93.4,6.7,11.3,0.9,0,10,2022-11-19T06:49:34,2022-11-19T17:24:01,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-20,54.8,41.1,47.2,54.8,33.8,43.8,34.2,62,0,0,0,,0,0,22.4,14.4,17.8,1028.7,75.1,9.9,64.5,5.6,4,10,2022-11-20T06:50:24,2022-11-20T17:23:41,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-21,48.3,43.2,45.3,44.4,37.5,40.9,40,82.5,0.53,100,58.33,rain,0,0,19,12.2,35.4,1027.7,90.5,7.9,19.5,1.7,1,10,2022-11-21T06:51:14,2022-11-21T17:23:21,0.93,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-22,59.2,44.8,51,59.2,40.4,49.3,41.5,71.4,0.061,100,29.17,rain,0,0,17.2,11.2,55.4,1025.2,93.6,9.4,75.9,6.6,4,10,2022-11-22T06:52:04,2022-11-22T17:23:04,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-23,69.9,51.4,59.9,69.9,51.4,59.9,47.4,64.4,0,0,0,,0,0,32.2,15.9,108.1,1019.1,46.9,9.6,101.7,8.9,6,10,2022-11-23T06:52:53,2022-11-23T17:22:48,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-24,68.3,61,64.9,68.3,61,64.9,63.6,95.7,1.661,100,50,rain,0,0,37.3,27.1,81.7,1013.1,100,3.1,18,1.5,1,10,2022-11-24T06:53:43,2022-11-24T17:22:34,0.03,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-25,62.6,59.1,60,62.6,59.1,60,57.8,92.4,0.425,100,41.67,rain,0,0,29.7,19.3,41.3,1016.4,89.7,7.9,15.5,1.2,1,10,2022-11-25T06:54:32,2022-11-25T17:22:21,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-26,64.7,54.1,60,64.7,54.1,60,51.3,75.9,1.442,100,41.67,rain,0,0,33.8,20.9,264.4,1011.1,57,7.4,102,8.6,7,10,2022-11-26T06:55:22,2022-11-26T17:22:10,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,E6288,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-27,74.3,54.8,63.3,74.3,54.8,63.3,48,58.7,0,0,0,,0,0,25.3,17.4,257.4,1012.3,19.3,9.9,112.4,9.7,7,10,2022-11-27T06:56:11,2022-11-27T17:22:01,0.13,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-28,73.5,54.7,62.7,73.5,54.7,62.7,50.8,67,0,0,0,,0,0,22.1,13.1,103.1,1014,38.6,9.8,117.3,10.1,7,10,2022-11-28T06:57:00,2022-11-28T17:21:54,0.17,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-29,79.2,64.3,74.1,79.2,64.3,74.1,71,90.5,0.01,100,4.17,rain,0,0,30.3,19.6,193.2,1009.1,94.7,4.9,45.3,3.9,2,75,2022-11-29T06:57:48,2022-11-29T17:21:48,0.2,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-30,73.6,50,59,73.6,50,59,40.7,53.7,0,0,0,,0,0,36.4,25,9.8,1022,46,8.7,104,8.9,7,60,2022-11-30T06:58:36,2022-11-30T17:21:44,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-01,57.4,41.2,50.7,57.4,34.2,48.2,39.3,65.3,0,0,0,,0,0,22.1,14.7,89.3,1026.1,60.2,9.9,75.9,6.5,6,10,2022-12-01T06:59:24,2022-12-01T17:21:41,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-02,77.2,55.5,67,77.2,55.5,67,63.8,89.7,0,0,0,,0,0,28.9,18.9,143.6,1020.4,97.6,6.7,38.5,3.4,3,30,2022-12-02T07:00:11,2022-12-02T17:21:41,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-03,77.1,64.4,71.6,77.1,64.4,71.6,66.8,85.4,0.001,100,4.17,rain,0,0,23.5,14.4,297.8,1024.6,96.6,7.9,58.3,5.1,4,30,2022-12-03T07:00:58,2022-12-03T17:21:42,0.34,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KHOU,72059400188,E6288,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-04,68.3,59.2,63.6,68.3,59.2,63.6,56.3,77.8,0,0,0,,0,0,15.4,13.3,48.3,1022.6,96.1,7.9,63.1,5.5,3,10,2022-12-04T07:01:44,2022-12-04T17:21:44,0.38,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-05,80.7,64.6,71.2,82.4,64.6,71.3,67.1,88.2,0,0,0,,0,0,25.1,14.7,188,1014.5,89.8,5.5,44.7,3.7,2,30,2022-12-05T07:02:30,2022-12-05T17:21:49,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-06,80.9,68.1,73.3,83.6,68.1,73.6,68.7,86.7,0,0,0,,0,0,26.4,16.8,184.3,1015.1,89.8,8.2,61.8,5.3,4,30,2022-12-06T07:03:15,2022-12-06T17:21:55,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-07,81,69.9,73.8,83.5,69.9,74,69.8,88.5,0.027,100,4.17,rain,0,0,26.4,17.6,168.4,1021.3,81.3,5,59.8,5.1,2,30,2022-12-07T07:03:59,2022-12-07T17:22:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-08,80.7,69.8,73.9,82.4,69.8,74.1,68.6,84.6,0,0,0,,0,0,19.7,12.2,164.8,1021.4,87.4,7.1,72.2,6.3,4,30,2022-12-08T07:04:43,2022-12-08T17:22:12,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-09,80.7,69.8,73.6,82.4,69.8,73.6,68.5,85.4,0,0,0,,0,0,19.7,14,173,1019.2,79.6,7.1,78.3,6.7,5,30,2022-12-09T07:05:26,2022-12-09T17:22:23,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,E6288,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-10,79.1,66.1,72,79.1,66.1,72,68.2,88.8,0.002,100,4.17,rain,0,0,29.4,18.7,161.4,1017.5,87,5.9,69.1,6.1,4,60,2022-12-10T07:06:08,2022-12-10T17:22:36,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-11,71.9,64.6,68.2,71.9,64.6,68.2,64.8,89.2,0.629,100,29.17,rain,0,0,24.2,13.6,37.5,1017,93.9,8.2,34.7,3.1,3,60,2022-12-11T07:06:50,2022-12-11T17:22:50,0.62,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-12,68.3,62.9,66.1,68.3,62.9,66.1,63.9,93.1,0.02,100,8.33,rain,0,0,28.9,19.2,114.5,1014.4,99.8,6.4,19.8,1.8,1,10,2022-12-12T07:07:30,2022-12-12T17:23:06,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-13,79.7,68.3,73.5,79.7,68.3,73.5,69.4,87.5,0.013,100,20.83,rain,0,0,36.5,24.4,161.8,1007.3,97.4,6.9,40.1,3.5,2,75,2022-12-13T07:08:10,2022-12-13T17:23:23,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-14,73,55.2,62.9,73,55.2,62.9,43.4,53,0.107,100,37.5,rain,0,0,35.1,26.5,335.8,1008.2,60.5,9.4,77.1,6.7,6,75,2022-12-14T07:08:49,2022-12-14T17:23:42,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-15,62.8,47.4,54.6,62.8,43.5,53.9,31.8,43.8,0,0,0,,0,0,17.2,11.6,78.3,1016.5,19.1,9.9,90,7.8,7,10,2022-12-15T07:09:26,2022-12-15T17:24:03,0.75,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-16,66.3,43,54.2,66.3,34.7,52.3,44.5,70.8,0.126,100,20.83,rain,0,0,32.7,23.5,73.5,1016.8,73,9,61.9,5.2,5,10,2022-12-16T07:10:03,2022-12-16T17:24:25,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-17,56.6,42.9,48.3,56.6,35.8,45.2,27.9,47.8,0.01,100,4.17,rain,0,0,26.4,14.3,3.2,1021.3,64.3,9.9,70.8,6.2,4,10,2022-12-17T07:10:38,2022-12-17T17:24:48,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-18,53.7,40.5,48.2,53.7,33.2,45.4,23.7,38.4,0,0,0,,0,0,24.2,19.8,84.5,1024,51,9.9,60.3,5.2,4,10,2022-12-18T07:11:13,2022-12-18T17:25:13,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-19,51.8,43.1,47.8,51.8,34.2,43.5,41.3,79.7,0.176,100,50,rain,0,0,32.8,22.2,72,1019.6,99.9,7.9,15.4,1.3,1,10,2022-12-19T07:11:46,2022-12-19T17:25:40,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-20,57.4,45,50.3,57.4,39.2,47.5,46.5,87.7,0.054,100,25,rain,0,0,26.4,20,356.7,1024,88.8,7.2,52.5,4.6,3,10,2022-12-20T07:12:18,2022-12-20T17:26:08,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-21,55.3,43,48.1,55.3,38.5,46.2,42,80.2,0,0,0,,0,0,19.7,14.6,27.4,1022.3,49.8,9.5,70.8,6.1,4,10,2022-12-21T07:12:49,2022-12-21T17:26:37,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,E6288,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-22,59,21.5,44.1,59,4.8,38.3,39,82.8,0,0,0,,0,0,49.8,31,337.2,1017.9,95,5,33.2,2.9,2,10,2022-12-22T07:13:19,2022-12-22T17:27:07,0.98,Overcast,Cloudy skies throughout the day.,wind,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-23,30.5,15.9,22.6,18,-4.3,7.1,0,37.5,0,0,0,,0,0,50.5,37.1,346.8,1035.1,30.6,9.1,91.7,7.9,7,10,2022-12-23T07:13:47,2022-12-23T17:27:39,0,Partially cloudy,Clearing in the afternoon.,wind,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-24,41,21.4,30.7,38.7,9.3,23.1,2.6,30.7,0,0,0,,0,0,32.2,17.7,355.8,1034.4,12.6,9.9,105.2,9.1,7,10,2022-12-24T07:14:14,2022-12-24T17:28:12,0.05,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-25,48.3,30,38.4,48.3,21.3,33.9,9.2,31.8,0,0,0,,0,0,16.1,12.6,50.9,1029.8,22.1,9.9,102.9,8.9,7,10,2022-12-25T07:14:39,2022-12-25T17:28:47,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-26,59.4,40.1,49.3,59.4,34.9,47.7,23.2,37.4,0,0,0,,0,0,11.4,15.7,313.4,1023.9,54.2,9.9,90.9,7.9,6,10,2022-12-26T07:15:04,2022-12-26T17:29:22,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-27,55.5,37.3,45.8,55.5,28.8,41.6,27.8,51.5,0,0,0,,0,0,20.8,15.1,19.3,1024.3,6.6,9.9,106.1,9.1,7,10,2022-12-27T07:15:26,2022-12-27T17:29:59,0.15,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,E6288,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-28,75.3,45.4,60.7,75.3,39.3,59.1,53.9,79.9,0,0,0,,0,0,32.5,21.7,154.7,1014.9,64.1,9.2,50.9,4.4,4,10,2022-12-28T07:15:48,2022-12-28T17:30:37,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-29,77,64.1,68.8,77,64.1,68.8,65.8,90.7,0.217,100,41.67,rain,0,0,31.8,20.1,156.8,1013.6,90.5,6.2,47.1,4.1,2,60,2022-12-29T07:16:08,2022-12-29T17:31:15,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-30,68.2,59.4,63.7,68.2,59.4,63.7,60.4,89.3,0.2,100,20.83,rain,0,0,23,14,334.5,1013.2,76.8,7.4,67.3,5.7,4,30,2022-12-30T07:16:26,2022-12-30T17:31:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-12-31,75.3,57.1,63.9,75.3,57.1,63.9,54.3,74.9,0,0,0,,0,0,18.3,13.3,214.3,1014.1,50.8,8.2,106.6,9.3,6,10,2022-12-31T07:16:43,2022-12-31T17:32:36,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2023-01-01,79,59.1,69.2,79,59.1,69.2,65.4,89.3,0,0,0,,0,0,23,16,173.3,1013.7,88.1,3.9,72.8,6.2,5,60,2023-01-01T07:16:58,2023-01-01T17:33:18,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
"Houston	, Texas",2023-01-02,75.5,71.6,73.6,75.5,71.6,73.6,71.5,93,0.063,100,29.17,rain,0,0,35.4,23.9,169.8,1010.2,99.4,5,20.9,1.8,1,75,2023-01-02T07:17:12,2023-01-02T17:34:01,0.36,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2023-01-03,77.2,67.3,72,77.2,67.3,72,53.6,58.9,0.032,100,12.5,rain,0,0,21.8,14.6,292,1010.1,64.3,7.9,95.5,8.2,5,75,2023-01-03T07:17:24,2023-01-03T17:34:45,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2023-01-04,71.9,59.4,65.7,71.9,59.4,65.7,34,31.4,0,0,0,,0,0,19.6,15.8,310.8,1017,27.2,9.9,107.9,9.3,6,10,2023-01-04T07:17:35,2023-01-04T17:35:29,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2023-01-05,72,56.1,63,72,56.1,63,41.7,47.2,0,0,0,,0,0,9.2,8.1,85.3,1023,35.4,9.9,100.7,8.7,7,10,2023-01-05T07:17:44,2023-01-05T17:36:14,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2023-01-06,77.2,56.6,65.4,77.2,56.6,65.4,56.8,75.8,0,0,0,,0,0,29.6,20.7,149.3,1021.6,41.8,9.5,105.1,9.1,6,10,2023-01-06T07:17:51,2023-01-06T17:37:00,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2023-01-07,79.3,63.8,70.4,79.3,63.8,70.4,64.6,83.5,0.001,100,4.17,rain,0,0,18.3,15.7,166.7,1020.2,80.5,7.8,76.4,6.5,5,60,2023-01-07T07:17:57,2023-01-07T17:37:47,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2023-01-08,68.7,53.9,62,68.7,53.9,62,50.6,68.7,0.535,100,29.17,rain,0,0,32.2,15.4,1.7,1021.9,42.2,8.9,122.1,10.6,6,10,2023-01-08T07:18:01,2023-01-08T17:38:34,0.56,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
